                   Zilog Z80 Instructions sorted by opcode

This should be the complete list of all the opcodes of the Zilog Z80.

If an EDxx instruction is not listed, it should operate as two NOPs.
If a DDxx or FDxx instruction is not listed, it should operate as 
without the DD or FD prefix. 
 * = unofficial.

For corrections, comments, whatever, you can reach me at:
syoung@cs.vu.nl or 101461.16@CompuServe.COM.

00          NOP
01 n n      LD BC,nn
02          LD (BC),A
03          INC BC
04          INC B
05          DEC B
06 n        LD B,n
07          RLCA
08          EX AF,AF’
09          ADD HL,BC
0A          LD A,(BC)
0B          DEC BC
0C          INC C
0D          DEC C
0E n        LD C,n
0F          RRCA
10 n        DJNZ PC+n
11 n n      LD DE,nn
12          LD (DE),A
13          INC DE
14          INC D
15          DEC D
16 n        LD D,n
17          RLA
18 n        JR PC+n
19          ADD HL,DE
1A          LD A,(DE)
1B          DEC DE
1C          INC E
1D          DEC E
1E n        LD E,n
1F          RRA
20 n        JR NZ,PC+n
21 n n      LD HL,nn
22 n n      LD (nn),HL
23          INC HL
24          INC H
25          DEC H
26 n        LD H,n
27          DAA
28 n        JR Z,PC+n
29          ADD HL,HL
2A n n      LD HL,(nn)
2B          DEC HL
2C          INC L
2D          DEC L
2E n        LD L,n
2F          CPL
30 n        JR NC,PC+n
31 n n      LD SP,nn
32 n n      LD (nn),A
33          INC SP
34          INC (HL)
35          DEC (HL)
36 n        LD (HL),n
37          SCF
38 n        JR C,PC+n
39          ADD HL,SP
3A n n      LD A,(nn)
3B          DEC SP
3C          INC A
3D          DEC A
3E n        LD A,n
3F          CCF
40          LD B,B
41          LD B,C
42          LD B,D
43          LD B,E
44          LD B,H
45          LD B,L
46          LD B,(HL)
47          LD B,A
48          LD C,B
49          LD C,C
4A          LD C,D
4B          LD C,E
4C          LD C,H
4D          LD C,L
4E          LD C,(HL)
4F          LD C,A
50          LD D,B
51          LD D,C
52          LD D,D
53          LD D,E
54          LD D,H
55          LD D,L
56          LD D,(HL)
57          LD D,A
58          LD E,B
59          LD E,C
